G#,Date,Tm,Opp,Result,Pos,Ins_20_Pass_Cmp,Ins_20_Pass_Att,Ins_20_Pass_Yds,Ins_20_Pass_TD,Ins_20_Rush_Att,Ins_20_Rush_Yds,Ins_20_Rush_TD,Ins_10_Pass_Cmp,Ins_10_Pass_Att,Ins_10_Pass_Yds,Ins_10_Pass_TD,Ins_10_Rush_Att,Ins_10_Rush_Yds,Ins_10_Rush_TD,Off_Snap_Num,Off_Snap_Pct,Def_Snap_Num,Def_Snap_Pct,ST_Snap_Num,ST_Snap_Pct,FantPt
15,12/23/2012,CAR,OAK,W 17-6,QB,1,2,4,0,2,2,1,1,2,0.00,0,1.00,3,1.00,63,1.00,0,0.00,0,0.00,20.8
16,12/30/2012,CAR,NOR,W 44-38,QB,2,7,27,0,2,1,0,0,2,0.00,0,1.00,-1,0.00,71,0.93,0,0.00,0,0.00,11.3
1,9/8/2013,CAR,SEA,L 7-12,QB,2,3,11,1,0,0,0,1,1,0.00,1,0.00,0,0.00,52,1.00,0,0.00,0,0.00,12.8
2,9/15/2013,CAR,BUF,L 23-24,QB,2,5,8,1,1,3,0,1,3,0.00,0,1.00,3,0.00,79,1.00,0,0.00,0,0.00,16.7
3,9/22/2013,CAR,NYG,W 38-0,QB,2,4,23,1,2,1,1,1,2,0.00,0,1.00,3,1.00,71,0.93,0,0.00,0,0.00,29.4
4,10/6/2013,CAR,ARI,L 6-22,QB,1,4,5,0,1,0,0,0,1,0.00,0,0.00,0,0.00,68,1.00,0,0.00,0,0.00,6.8
5,10/13/2013,CAR,MIN,W 35-10,QB,2,2,12,2,3,8,1,1,1,0.00,1,2.00,5,1.00,65,0.93,0,0.00,0,0.00,30.7
6,10/20/2013,CAR,STL,W 30-15,QB,2,3,31,1,1,3,0,0,0,0.00,0,0.00,0,0.00,58,0.98,0,0.00,0,0.00,14.8
7,10/24/2013,CAR,TAM,W 31-13,QB,4,5,20,2,2,11,1,2,2,1.00,2,2.00,11,1.00,63,1.00,0,0.00,0,0.00,27.8
8,11/3/2013,CAR,ATL,W 34-10,QB,1,3,14,1,1,8,1,0,0,0.00,0,1.00,8,1.00,75,1.00,0,0.00,0,0.00,18.2
10,11/18/2013,CAR,NWE,W 24-20,QB,3,4,35,2,1,4,0,1,2,0.00,1,1.00,4,0.00,57,1.00,0,0.00,0,0.00,26.6
11,11/24/2013,CAR,MIA,W 20-16,QB,1,2,1,1,1,5,1,1,1,1.00,1,1.00,5,1.00,71,1.00,0,0.00,0,0.00,20.1
12,12/1/2013,CAR,TAM,W 27-6,QB,2,4,26,1,2,3,1,0,2,0.00,0,2.00,3,1.00,60,0.94,0,0.00,0,0.00,27.3
13,12/8/2013,CAR,NOR,L 13-31,QB,2,6,23,1,2,13,0,0,4,0.00,0,0.00,0,0.00,63,1.00,0,0.00,0,0.00,15.2
14,12/15/2013,CAR,NYJ,W 30-20,QB,1,8,6,0,3,2,0,0,2,0.00,0,1.00,4,0.00,64,1.00,0,0.00,0,0.00,16.1
15,12/22/2013,CAR,NOR,W 17-13,QB,1,4,14,1,0,0,0,0,0,0.00,0,0.00,0,0.00,44,1.00,0,0.00,0,0.00,9.8
16,12/29/2013,CAR,ATL,W 21-20,QB,2,3,10,2,0,0,0,2,3,0.00,2,0.00,0,0.00,58,1.00,0,0.00,0,0.00,19.2
2,9/14/2014,CAR,DET,W 24-7,QB,2,4,18,1,1,4,0,0,1,0.00,0,1.00,4,0.00,67,1.00,0,0.00,0,0.00,19.1
4,9/28/2014,CAR,BAL,L 10-38,QB,0,0,0,0,1,-5,0,0,0,0.00,0,0.00,0,0.00,55,0.83,0,0.00,0,0.00,12.6
5,10/5/2014,CAR,CHI,W 31-24,QB,3,4,26,2,1,3,0,2,3,0.00,2,0.00,0,0.00,66,1.00,0,0.00,0,0.00,15.1
6,10/12/2014,CAR,CIN,T 37-37,QB,3,5,23,2,1,12,1,1,1,0.00,1,0.00,0,0.00,84,1.00,0,0.00,0,0.00,34.1
7,10/19/2014,CAR,GNB,L 17-38,QB,1,2,13,1,0,0,0,0,0,0.00,0,0.00,0,0.00,58,0.83,0,0.00,0,0.00,14.3
8,10/26/2014,CAR,SEA,L 9-13,QB,0,1,0,0,6,-2,0,0,1,0.00,0,3.00,2,0.00,60,1.00,0,0.00,0,0.00,5.2
9,10/30/2014,CAR,NOR,L 10-28,QB,2,6,18,1,2,2,1,0,0,0.00,0,1.00,-8,0.00,57,1.00,0,0.00,0,0.00,12.3
10,11/10/2014,CAR,PHI,L 21-45,QB,1,2,9,0,0,0,0,0,0,0.00,0,0.00,0,0.00,82,1.00,0,0.00,0,0.00,12.8
11,11/16/2014,CAR,ATL,L 17-19,QB,0,2,0,0,0,0,0,0,2,0.00,0,0.00,0,0.00,66,1.00,0,0.00,0,0.00,18.7
12,11/30/2014,CAR,MIN,L 13-31,QB,0,3,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,74,1.00,0,0.00,0,0.00,14.7
13,12/7/2014,CAR,NOR,W 41-10,QB,3,4,32,2,2,5,1,2,2,0.00,1,1.00,2,1.00,71,0.96,0,0.00,0,0.00,35.3
15,12/21/2014,CAR,CLE,W 17-13,QB,2,5,19,1,3,0,1,1,4,0.00,1,1.00,2,1.00,79,1.00,0,0.00,0,0.00,22.3
16,12/28/2014,CAR,ATL,W 34-3,QB,3,3,12,1,2,11,1,1,1,0.00,1,1.00,4,1.00,53,1.00,0,0.00,0,0.00,19.7
