,,,,,,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,,,
,,,,,,,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Off.,Off.,Def.,Def.,ST,ST,Fantasy,Fantasy,Fantasy
Rk,G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt,DKPt,FDPt
11,11,2015-11-29,NWE,DEN,L 24-30,QB,2,2,9,1,0,0,0,2,2,0,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,23.2,23.2,23.2
12,12,2015-12-06,NWE,PHI,L 28-35,QB,4,6,41,3,1,1,1,1,3,0,1,1,1,1,89,100.0%,0,0.0%,0,0.0%,31.78,37.8,34.3
13,13,2015-12-13,NWE,HOU,W 27-6,QB,5,6,26,2,0,0,0,3,3,1,2,0,0,0,67,100.0%,0,0.0%,0,0.0%,18.04,18,18
14,14,2015-12-20,NWE,TEN,W 33-16,QB,3,3,12,1,0,0,0,2,2,0,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,18.68,18.7,18.7
15,15,2015-12-27,NWE,NYJ,L 20-26,QB,1,2,9,1,0,0,0,1,1,0,1,0,0,0,56,100.0%,0,0.0%,0,0.0%,11.14,12.1,12.1
16,16,2016-01-03,NWE,MIA,L 10-20,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,93.3%,0,0.0%,0,0.0%,5.26,5.3,5.3
1,5,2016-10-09,NWE,CLE,W 33-13,QB,3,4,12,2,0,0,0,3,4,0,2,0,0,0,71,88.8%,0,0.0%,0,0.0%,29.64,32.6,29.6
2,6,2016-10-16,NWE,CIN,W 35-17,QB,5,7,39,3,1,0,0,2,3,0,2,1,0,0,64,100.0%,0,0.0%,0,0.0%,27.24,30.2,27.2
3,7,2016-10-23,NWE,PIT,W 27-16,QB,1,1,19,1,0,0,0,0,0,0,0,0,0,0,57,100.0%,0,0.0%,0,0.0%,18.18,18.2,18.2
4,8,2016-10-30,NWE,BUF,W 41-25,QB,6,7,34,2,0,0,0,3,4,0,1,0,0,0,64,94.1%,0,0.0%,0,0.0%,30.1,33.1,30.1
5,9,2016-11-13,NWE,SEA,L 24-31,QB,1,3,14,0,3,3,0,0,2,0,0,3,3,0,66,100.0%,0,0.0%,0,0.0%,11.34,15.3,12.3
6,10,2016-11-20,NWE,SFO,W 30-17,QB,5,7,21,3,2,6,0,3,3,0,3,1,-1,0,77,100.0%,0,0.0%,0,0.0%,28.4,28.4,28.4
7,11,2016-11-27,NWE,NYJ,W 22-17,QB,2,6,11,2,3,-4,0,2,3,0,2,3,-4,0,73,100.0%,0,0.0%,0,0.0%,19.04,19,19
8,12,2016-12-04,NWE,LAR,W 26-10,QB,3,4,20,1,1,3,0,0,0,0,0,0,0,0,79,100.0%,0,0.0%,0,0.0%,14.86,14.9,14.9
9,13,2016-12-12,NWE,BAL,W 30-23,QB,6,9,38,2,0,0,0,3,5,0,1,0,0,0,69,100.0%,0,0.0%,0,0.0%,26.14,30.1,27.1
10,14,2016-12-18,NWE,DEN,W 16-3,QB,2,3,27,0,0,0,0,0,1,0,0,0,0,0,75,100.0%,0,0.0%,0,0.0%,7.42,7.4,7.4
11,15,2016-12-24,NWE,NYJ,W 41-3,QB,4,7,28,2,0,0,0,2,4,0,1,0,0,0,59,79.7%,0,0.0%,0,0.0%,20.56,20.6,20.6
12,16,2017-01-01,NWE,MIA,W 35-14,QB,5,6,24,2,0,0,0,2,3,0,1,0,0,0,64,95.5%,0,0.0%,0,0.0%,25.64,25.6,25.6
1,1,2017-09-07,NWE,KAN,L 27-42,QB,1,4,5,0,1,1,0,0,1,0,0,0,0,0,81,100.0%,0,0.0%,0,0.0%,10.68,10.7,10.7
2,2,2017-09-17,NWE,NOR,W 36-20,QB,5,9,46,2,1,7,0,0,1,0,0,0,0,0,76,100.0%,0,0.0%,0,0.0%,30.78,33.8,30.8
3,3,2017-09-24,NWE,HOU,W 36-33,QB,2,4,12,2,0,0,0,2,4,0,2,0,0,0,64,100.0%,0,0.0%,0,0.0%,35.72,39.7,35.7
4,4,2017-10-01,NWE,CAR,L 30-33,QB,5,9,20,2,0,0,0,2,4,1,2,0,0,0,70,100.0%,0,0.0%,0,0.0%,20.48,23.5,20.5
5,5,2017-10-05,NWE,TAM,W 19-14,QB,4,5,24,1,1,1,0,2,3,0,1,1,1,0,74,100.0%,0,0.0%,0,0.0%,12.62,17.6,13.6
6,6,2017-10-15,NWE,NYJ,W 24-17,QB,2,4,7,1,0,0,0,1,2,0,1,0,0,0,68,100.0%,0,0.0%,0,0.0%,16.18,17.2,17.2
7,7,2017-10-22,NWE,ATL,W 23-7,QB,3,4,14,2,3,-3,0,1,1,0,1,0,0,0,74,100.0%,0,0.0%,0,0.0%,18.46,18.5,18.5
8,8,2017-10-29,NWE,LAC,W 21-13,QB,3,6,13,1,1,2,0,2,3,0,1,0,0,0,86,100.0%,0,0.0%,0,0.0%,17.52,20.5,17.5
9,9,2017-11-12,NWE,DEN,W 41-16,QB,5,10,43,3,0,0,0,1,4,0,1,0,0,0,61,87.1%,0,0.0%,0,0.0%,22.64,22.6,22.6
10,10,2017-11-19,NWE,OAK,W 33-8,QB,5,7,33,2,0,0,0,2,2,0,1,0,0,0,57,95.0%,0,0.0%,0,0.0%,25.6,28.6,25.6
11,11,2017-11-26,NWE,MIA,W 35-17,QB,4,4,26,4,0,0,0,3,3,1,3,0,0,0,70,100.0%,0,0.0%,0,0.0%,20.68,22.7,21.7
12,12,2017-12-03,NWE,BUF,W 23-3,QB,0,3,0,0,0,0,0,0,2,0,0,0,0,0,68,97.1%,0,0.0%,0,0.0%,8.32,9.3,9.3
13,13,2017-12-11,NWE,MIA,L 20-27,QB,2,5,7,1,0,0,0,2,3,0,1,0,0,0,61,100.0%,0,0.0%,0,0.0%,9.32,11.3,11.3
14,14,2017-12-17,NWE,PIT,W 27-24,QB,2,5,14,1,0,0,0,1,2,0,1,0,0,0,59,100.0%,0,0.0%,0,0.0%,15.72,16.7,16.7
15,15,2017-12-24,NWE,BUF,W 37-16,QB,5,8,44,2,0,0,0,0,1,0,0,0,0,0,67,94.4%,0,0.0%,0,0.0%,15.56,16.6,16.6
16,16,2017-12-31,NWE,NYJ,W 26-6,QB,4,5,25,2,0,0,0,2,3,0,2,0,0,0,80,94.1%,0,0.0%,0,0.0%,15.6,15.6,15.6
1,1,2015-09-14,ATL,PHI,W 26-24,QB,2,3,14,1,0,0,0,1,2,0,1,0,0,0,76,100.0%,0,0.0%,0,0.0%,16.62,18.6,18.6
2,2,2015-09-20,ATL,NYG,W 24-20,QB,2,4,21,1,0,0,0,0,0,0,0,0,0,0,72,100.0%,0,0.0%,0,0.0%,18.42,21.4,18.4
3,3,2015-09-27,ATL,DAL,W 39-28,QB,6,10,28,1,0,0,0,1,3,0,1,0,0,0,74,100.0%,0,0.0%,0,0.0%,23.1,23.1,23.1
4,4,2015-10-04,ATL,HOU,W 48-21,QB,1,1,3,1,0,0,0,1,1,0,1,0,0,0,58,81.7%,0,0.0%,0,0.0%,14.14,14.1,14.1
5,5,2015-10-11,ATL,WAS,W 25-19,QB,1,5,7,0,0,0,0,0,0,0,0,0,0,0,80,100.0%,0,0.0%,0,0.0%,6.16,9.2,8.2
6,6,2015-10-15,ATL,NOR,L 21-31,QB,3,4,32,2,1,0,0,1,2,0,1,0,0,0,73,100.0%,0,0.0%,0,0.0%,18.8,19.8,18.8
7,7,2015-10-25,ATL,TEN,W 10-7,QB,2,5,11,1,0,0,0,2,4,0,1,0,0,0,75,100.0%,0,0.0%,0,0.0%,9.74,11.7,11.7
8,8,2015-11-01,ATL,TAM,L 20-23,QB,5,7,42,2,2,2,0,3,4,0,2,1,0,0,80,100.0%,0,0.0%,0,0.0%,20.08,25.1,21.1
9,9,2015-11-08,ATL,SFO,L 16-17,QB,3,6,24,1,0,0,0,2,3,0,0,0,0,0,64,100.0%,0,0.0%,0,0.0%,16.32,19.3,16.3
10,10,2015-11-22,ATL,IND,L 21-24,QB,4,6,26,3,0,0,0,2,3,1,2,0,0,0,75,100.0%,0,0.0%,0,0.0%,17.9,20.9,20.9
11,11,2015-11-29,ATL,MIN,L 10-20,QB,2,5,9,1,0,0,0,1,1,1,1,0,0,0,64,100.0%,0,0.0%,0,0.0%,9.1,11.1,11.1
12,12,2015-12-06,ATL,TAM,L 19-23,QB,4,8,28,1,0,0,0,1,3,0,1,0,0,0,67,100.0%,0,0.0%,0,0.0%,13.16,14.2,14.2
13,13,2015-12-13,ATL,CAR,L 0-38,QB,1,3,4,0,0,0,0,1,3,0,0,0,0,0,54,83.1%,0,0.0%,0,0.0%,4.86,6.9,5.9
14,14,2015-12-20,ATL,JAX,W 23-17,QB,2,4,14,1,0,0,0,1,1,0,0,0,0,0,74,100.0%,0,0.0%,0,0.0%,11.84,12.8,12.8
15,15,2015-12-27,ATL,CAR,W 20-13,QB,1,1,8,0,1,7,0,0,0,0,0,0,0,0,62,100.0%,0,0.0%,0,0.0%,14.34,18.3,14.3
16,16,2016-01-03,ATL,NOR,L 17-20,QB,3,3,24,1,0,0,0,2,2,0,1,0,0,0,67,100.0%,0,0.0%,0,0.0%,19.36,23.4,20.4
1,1,2016-09-11,ATL,TAM,L 24-31,QB,6,8,18,1,0,0,0,3,3,0,1,0,0,0,65,100.0%,0,0.0%,0,0.0%,24.36,27.4,24.4
2,2,2016-09-18,ATL,OAK,W 35-28,QB,5,6,27,2,0,0,0,3,3,1,1,0,0,0,64,100.0%,0,0.0%,0,0.0%,27.84,31.8,28.8
3,3,2016-09-26,ATL,NOR,W 45-32,QB,5,9,52,2,3,1,0,1,4,0,1,3,1,0,64,100.0%,0,0.0%,0,0.0%,19.9,19.9,19.9
4,4,2016-10-02,ATL,CAR,W 48-33,QB,4,4,12,1,0,0,0,3,3,0,1,0,0,0,67,100.0%,0,0.0%,0,0.0%,35.52,39.5,36.5
5,5,2016-10-09,ATL,DEN,W 23-16,QB,4,6,25,0,0,0,0,2,4,1,0,0,0,0,67,100.0%,0,0.0%,0,0.0%,14.98,15,15
6,6,2016-10-16,ATL,SEA,L 24-26,QB,1,5,10,1,0,0,0,0,0,0,0,0,0,0,67,100.0%,0,0.0%,0,0.0%,21.6,26.6,22.6
7,7,2016-10-23,ATL,SDG,L 30-33,QB,2,6,19,1,0,0,0,0,1,0,0,0,0,0,65,100.0%,0,0.0%,0,0.0%,13.72,14.7,14.7
8,8,2016-10-30,ATL,GNB,W 33-32,QB,4,4,30,2,0,0,0,1,1,0,1,0,0,0,63,100.0%,0,0.0%,0,0.0%,24.42,24.4,24.4
