G#,Date,Tm,Opp,Result,Pos,Ins_20_Pass_Cmp,Ins_20_Pass_Att,Ins_20_Pass_Yds,Ins_20_Pass_TD,Ins_20_Rush_Att,Ins_20_Rush_Yds,Ins_20_Rush_TD,Ins_10_Pass_Cmp,Ins_10_Pass_Att,Ins_10_Pass_Yds,Ins_10_Pass_TD,Ins_10_Rush_Att,Ins_10_Rush_Yds,Ins_10_Rush_TD,Off_Snap_Num,Off_Snap_Pct,Def_Snap_Num,Def_Snap_Pct,ST_Snap_Num,ST_Snap_Pct,FantPt
1,2015-09-10,NWE,PIT,W 28-21,QB,5,6,27,4,1,2,0,4,5,2,3,0,0,0,61,100.0%,0,0.0%,0,0.0%,27.62
2,2015-09-20,NWE,BUF,W 40-32,QB,6,10,36,2,0,0,0,2,5,0,2,0,0,0,86,100.0%,0,0.0%,0,0.0%,28.24
3,2015-09-27,NWE,JAX,W 51-17,QB,5,9,47,2,0,0,0,2,6,1,1,0,0,0,78,97.5%,0,0.0%,0,0.0%,22.72
4,2015-10-11,NWE,DAL,W 30-6,QB,1,1,10,1,1,1,1,0,0,0,0,1,1,1,57,96.6%,0,0.0%,0,0.0%,25.3
5,2015-10-18,NWE,IND,W 34-27,QB,3,4,25,2,0,0,0,0,0,0,0,0,0,0,68,100.0%,0,0.0%,0,0.0%,22.48
6,2015-10-25,NWE,NYJ,W 30-23,QB,6,15,42,2,3,14,1,2,6,0,1,1,1,1,67,100.0%,0,0.0%,0,0.0%,29.7
7,2015-10-29,NWE,MIA,W 36-7,QB,4,7,47,3,0,0,0,0,1,0,0,0,0,0,68,94.4%,0,0.0%,0,0.0%,30.34
8,2015-11-08,NWE,WAS,W 27-10,QB,5,9,51,2,0,0,0,1,2,0,1,0,0,0,79,98.8%,0,0.0%,0,0.0%,17.86
9,2015-11-15,NWE,NYG,W 27-26,QB,3,5,6,1,0,0,0,1,3,1,1,0,0,0,72,100.0%,0,0.0%,0,0.0%,18.26
10,2015-11-23,NWE,BUF,W 20-13,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0%,0,0.0%,0,0.0%,13.08
11,2015-11-29,NWE,DEN,L 24-30,QB,2,2,9,1,0,0,0,2,2,0,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,23.2
12,2015-12-06,NWE,PHI,L 28-35,QB,4,6,41,3,1,1,1,1,3,0,1,1,1,1,89,100.0%,0,0.0%,0,0.0%,31.78
13,2015-12-13,NWE,HOU,W 27-6,QB,5,6,26,2,0,0,0,3,3,1,2,0,0,0,67,100.0%,0,0.0%,0,0.0%,18.04
14,2015-12-20,NWE,TEN,W 33-16,QB,3,3,12,1,0,0,0,2,2,0,1,0,0,0,66,100.0%,0,0.0%,0,0.0%,18.68
15,2015-12-27,NWE,NYJ,L 20-26,QB,1,2,9,1,0,0,0,1,1,0,1,0,0,0,56,100.0%,0,0.0%,0,0.0%,11.14
16,2016-01-03,NWE,MIA,L 10-20,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,93.3%,0,0.0%,0,0.0%,5.26
5,2016-10-09,NWE,CLE,W 33-13,QB,3,4,12,2,0,0,0,3,4,0,2,0,0,0,71,88.8%,0,0.0%,0,0.0%,29.64
6,2016-10-16,NWE,CIN,W 35-17,QB,5,7,39,3,1,0,0,2,3,0,2,1,0,0,64,100.0%,0,0.0%,0,0.0%,27.24
7,2016-10-23,NWE,PIT,W 27-16,QB,1,1,19,1,0,0,0,0,0,0,0,0,0,0,57,100.0%,0,0.0%,0,0.0%,18.18
8,2016-10-30,NWE,BUF,W 41-25,QB,6,7,34,2,0,0,0,3,4,0,1,0,0,0,64,94.1%,0,0.0%,0,0.0%,30.1
9,2016-11-13,NWE,SEA,L 24-31,QB,1,3,14,0,3,3,0,0,2,0,0,3,3,0,66,100.0%,0,0.0%,0,0.0%,11.34
10,2016-11-20,NWE,SFO,W 30-17,QB,5,7,21,3,2,6,0,3,3,0,3,1,-1,0,77,100.0%,0,0.0%,0,0.0%,28.4
11,2016-11-27,NWE,NYJ,W 22-17,QB,2,6,11,2,3,-4,0,2,3,0,2,3,-4,0,73,100.0%,0,0.0%,0,0.0%,19.04
12,2016-12-04,NWE,LAR,W 26-10,QB,3,4,20,1,1,3,0,0,0,0,0,0,0,0,79,100.0%,0,0.0%,0,0.0%,14.86
13,2016-12-12,NWE,BAL,W 30-23,QB,6,9,38,2,0,0,0,3,5,0,1,0,0,0,69,100.0%,0,0.0%,0,0.0%,26.14
14,2016-12-18,NWE,DEN,W 16-3,QB,2,3,27,0,0,0,0,0,1,0,0,0,0,0,75,100.0%,0,0.0%,0,0.0%,7.42
